NAME,GEO_ID,households,CountyFIPS,Annual Median Household Income,Annual Transportation Cost,Annual Housing Cost,Annual Housing and Transportation Cost,Transportation Cost as % of Annual Median Household Income,Housing Cost as % of Annual Median Household Income,Housing and Transportation Cost as % of Annual Median Household Income,'Discretionary Spending': Median Annual Household Income Minus Housing and Transportation Costs,Year
Block Group 1; Census Tract 701.02; Cheatham County; Tennessee,470210701021,593.0,21.0,77361.0,16176.0,16464.0,32640.0,20.90976073215186,21.282041338659013,42.19180207081087,44721.0,2020
Block Group 2; Census Tract 702.03; Cheatham County; Tennessee,470210702032,850.0,21.0,72702.0,16275.0,19824.0,36099.0,22.385904101675333,27.26747544771808,49.653379549393414,36603.0,2020
Block Group 2; Census Tract 701.02; Cheatham County; Tennessee,470210701022,808.0,21.0,80625.0,16324.0,14916.0,31240.0,20.246821705426356,18.50046511627907,38.74728682170543,49385.0,2020
Block Group 1; Census Tract 702.01; Cheatham County; Tennessee,470210702011,782.0,21.0,80764.0,16033.0,13632.0,29665.0,19.851666584121638,16.878807389430936,36.73047397355258,51099.0,2020
Block Group 3; Census Tract 702.02; Cheatham County; Tennessee,470210702023,1188.0,21.0,72488.0,16562.0,13032.0,29594.0,22.847919655667145,17.97814810727293,40.82606776294007,42894.0,2020
Block Group 2; Census Tract 702.01; Cheatham County; Tennessee,470210702012,922.0,21.0,101010.0,16068.0,20544.0,36612.0,15.907335907335906,20.33858033858034,36.24591624591624,64398.0,2020
Block Group 2; Census Tract 701.04; Cheatham County; Tennessee,470210701042,1353.0,21.0,48713.0,13615.0,11580.0,25195.0,27.949418019830436,23.771888407611932,51.72130642744237,23518.0,2020
Block Group 2; Census Tract 701.03; Cheatham County; Tennessee,470210701032,882.0,21.0,66197.0,15744.0,14220.0,29964.0,23.783555146003597,21.48133601220599,45.264891158209586,36233.0,2020
Block Group 3; Census Tract 701.04; Cheatham County; Tennessee,470210701043,420.0,21.0,69265.0,14491.0,17148.0,31639.0,20.9211001227171,24.75709232657186,45.678192449288964,37626.0,2020
Block Group 2; Census Tract 702.02; Cheatham County; Tennessee,470210702022,504.0,21.0,63750.0,15672.0,13896.0,29568.0,24.583529411764708,21.79764705882353,46.38117647058824,34182.0,2020
Block Group 3; Census Tract 704.02; Cheatham County; Tennessee,470210704023,1003.0,21.0,89904.0,15874.0,17232.0,33106.0,17.6566114967076,19.167111585691405,36.823723082399,56798.0,2020
Block Group 1; Census Tract 701.04; Cheatham County; Tennessee,470210701041,567.0,21.0,65066.0,15829.0,15156.0,30985.0,24.32760581563336,23.293271447453357,47.62087726308671,34081.0,2020
Block Group 2; Census Tract 704.01; Cheatham County; Tennessee,470210704012,595.0,21.0,94388.0,16861.0,14724.0,31585.0,17.86349959740645,15.599440606856804,33.462940204263255,62803.0,2020
Block Group 2; Census Tract 703; Cheatham County; Tennessee,470210703002,825.0,21.0,69052.0,14607.0,13368.0,27975.0,21.153623356311186,19.359323408445807,40.512946764757,41077.0,2020
Block Group 1; Census Tract 703; Cheatham County; Tennessee,470210703001,493.0,21.0,66161.0,13603.0,14076.0,27679.0,20.560451020994243,21.27537370958722,41.835824730581464,38482.0,2020
Block Group 1; Census Tract 704.01; Cheatham County; Tennessee,470210704011,399.0,21.0,58952.0,15378.0,16824.0,32202.0,26.085628986293933,28.53847197720179,54.62410096349573,26750.0,2020
Block Group 2; Census Tract 704.02; Cheatham County; Tennessee,470210704022,527.0,21.0,111607.0,16400.0,16092.0,32492.0,14.694418808856074,14.418450455616583,29.112869264472657,79115.0,2020
Block Group 1; Census Tract 704.02; Cheatham County; Tennessee,470210704021,1091.0,21.0,90658.0,16195.0,17136.0,33331.0,17.863839925875265,18.90180679035496,36.76564671623023,57327.0,2020
Block Group 1; Census Tract 701.03; Cheatham County; Tennessee,470210701031,469.0,21.0,75833.0,16413.0,17628.0,34041.0,21.643611620270857,23.24581646512732,44.88942808539817,41792.0,2020
