,NAME,2008,2009,2010,2011,2012,2013,2014,2014,2015,2016,2017,2020,2022,2023,2025,2035,2045
0,"CHEATHAM, TN",1235.941,1197.339,1204.069,1248.342,1299.431,1303.675,1312.533,1312.533,1385.144,1373.932,1410.763,1523.058,1601.1,1640.85,1721.228,2100.557,2455.09
1,"DAVIDSON, TN",28057.775,28819.923,29351.65,29863.418,29189.669,28794.199,31608.58,31608.58,34344.025,35451.121,36359.859,39315.482,41445.944,42535.919,44805.41,56515.328,68003.482
2,"DICKSON, TN",1461.66,1454.193,1486.098,1506.676,1536.894,1537.524,1582.991,1582.991,1689.975,1748.714,1798.067,1947.427,2051.445,2104.047,2209.593,2679.866,3082.903
3,"HOUSTON, TN",208.792,209.621,224.683,231.097,233.12,226.048,232.484,232.484,235.275,241.419,248.552,271.282,287.354,295.581,312.478,390.949,458.658
4,"HUMPHREYS, TN",517.225,523.085,550.853,555.949,563.753,554.647,570.428,570.428,597.408,606.544,619.82,662.551,692.897,708.306,739.514,877.553,988.386
5,"MONTGOMERY, TN",5977.202,6136.598,6432.74,6860.199,6839.385,6679.935,6703.575,6703.575,6959.69,7331.477,7579.85,8365.379,8929.015,9221.753,9828.935,13089.663,16778.775
6,"ROBERTSON, TN",2117.456,2077.701,2056.939,2105.119,2188.389,2209.428,2220.555,2220.555,2357.662,2432.73,2507.311,2740.21,2905.598,2990.953,3165.53,4045.149,4949.957
7,"RUTHERFORD, TN",8180.618,7934.658,8073.321,8408.383,8908.866,9117.973,9522.866,9522.866,10265.523,10855.062,11214.159,12356.653,13183.002,13615.518,14509.297,19360.858,24921.967
8,"STEWART, TN",451.621,463.035,483.56,487.488,475.441,455.202,446.15,446.15,461.021,470.94,482.302,517.851,542.609,554.934,580.083,692.971,785.996
9,"SUMNER, TN",5636.904,5555.53,5653.613,5879.87,6266.476,6315.491,6509.309,6509.309,6921.708,7304.705,7551.768,8304.214,8833.934,9103.098,9651.547,12346.939,15180.525
10,"TROUSDALE, TN",220.504,219.634,223.631,226.344,228.694,231.825,241.606,241.606,256.636,270.242,278.273,304.181,322.191,331.477,350.487,445.885,541.004
11,"WILLIAMSON, TN",10913.488,10765.108,11818.242,12756.176,14025.674,14403.145,15407.737,15407.737,16893.925,16567.431,17351.159,19906.376,21791.094,22777.31,24890.313,37914.652,55771.949
12,"WILSON, TN",4129.657,4037.696,4090.581,4212.216,4458.945,4546.312,4744.838,4744.838,5114.737,5316.188,5514.248,6146.329,6606.707,6848.637,7353.371,10163.616,13505.393
